id,region_id,name
00000000-0022-0000-0000-000000000004,00000000-0000-0000-0000-000000000022,Черкаський район
00000000-0023-0000-0000-000000000001,00000000-0000-0000-0000-000000000023,Вижницький район
00000000-0023-0000-0000-000000000002,00000000-0000-0000-0000-000000000023,Дністровський район
00000000-0023-0000-0000-000000000003,00000000-0000-0000-0000-000000000023,Чернівецький район
00000000-0024-0000-0000-000000000001,00000000-0000-0000-0000-000000000024,Корюківський район
00000000-0024-0000-0000-000000000002,00000000-0000-0000-0000-000000000024,Новгород-Сіверський район
00000000-0024-0000-0000-000000000003,00000000-0000-0000-0000-000000000024,Ніжинський район
00000000-0024-0000-0000-000000000004,00000000-0000-0000-0000-000000000024,Прилуцький район
00000000-0024-0000-0000-000000000005,00000000-0000-0000-0000-000000000024,Чернігівський район
00000000-0026-0000-0000-000000000001,00000000-0000-0000-0000-000000000026,м. Київ
